directive_title,directive_type,brand_code,status
[Rev] Time Spent on Financing (15s),goal,GUY,To do
[Rev] Time Spent on Financing (15s),goal,JUK,To do
[Rev] Time Spent on Financing (15s),goal,MOJ,To do
[Rev] Time Spent on Financing (15s),goal,MRH,To do
[Rev] Time Spent on Financing (15s),goal,MRR,To do
[Rev] Time Spent on Financing (15s),goal,MRR-CA,N/A
[Rev] Time Spent on Financing (15s),goal,MRE,To do
[Rev] Time Spent on Financing (15s),goal,SHG,N/A
[Rev] Time Spent on Financing (15s),goal,WDG,N/A
[Rev] Total Page Views,goal,MRA,Done
[Rev] Total Page Views,goal,ASV,To do
[Rev] Total Page Views,goal,MDG,To do
[Rev] Total Page Views,goal,PDS,To do
[Rev] Total Page Views,goal,RBW,To do
[Rev] Total Page Views,goal,MLY,To do
[Rev] Total Page Views,goal,FSP,To do
[Rev] Total Page Views,goal,GUY,To do
[Rev] Total Page Views,goal,JUK,To do
[Rev] Total Page Views,goal,MOJ,To do
[Rev] Total Page Views,goal,MRH,To do
[Rev] Total Page Views,goal,MRR,To do
[Rev] Total Page Views,goal,MRR-CA,N/A
[Rev] Total Page Views,goal,MRE,To do
[Rev] Total Page Views,goal,SHG,N/A
[Rev] Total Page Views,goal,WDG,N/A
Call Clicks,goal,MRA,Done
Call Clicks,goal,ASV,Done
Call Clicks,goal,MDG,Done
Call Clicks,goal,PDS,Done
Call Clicks,goal,RBW,Done
Call Clicks,goal,MLY,To do
Call Clicks,goal,FSP,Done
Call Clicks,goal,GUY,To do
Call Clicks,goal,JUK,To do
Call Clicks,goal,MOJ,To do
Call Clicks,goal,MRH,To do
Call Clicks,goal,MRR,To do
Call Clicks,goal,MRR-CA,N/A
Call Clicks,goal,MRE,To do
Call Clicks,goal,SHG,N/A
Call Clicks,goal,WDG,N/A
Call Clicks from Navigation,goal,MRA,Done
Call Clicks from Navigation,goal,ASV,To do
Call Clicks from Navigation,goal,MDG,Done
Call Clicks from Navigation,goal,PDS,To do
Call Clicks from Navigation,goal,RBW,Done
Call Clicks from Navigation,goal,MLY,To do
Call Clicks from Navigation,goal,FSP,Done
Call Clicks from Navigation,goal,GUY,To do
Call Clicks from Navigation,goal,JUK,To do
Call Clicks from Navigation,goal,MOJ,To do
Call Clicks from Navigation,goal,MRH,To do
Call Clicks from Navigation,goal,MRR,To do
Call Clicks from Navigation,goal,MRR-CA,N/A
Call Clicks from Navigation,goal,MRE,To do
Call Clicks from Navigation,goal,SHG,N/A
Call Clicks from Navigation,goal,WDG,N/A
Clicks Any Scheduler CTA,goal,MRA,Done
Clicks Any Scheduler CTA,goal,ASV,Done
Clicks Any Scheduler CTA,goal,MDG,Done
Clicks Any Scheduler CTA,goal,PDS,Done
Clicks Any Scheduler CTA,goal,RBW,Done
Clicks Any Scheduler CTA,goal,MLY,To do
Clicks Any Scheduler CTA,goal,FSP,Done
Clicks Any Scheduler CTA,goal,GUY,To do
Clicks Any Scheduler CTA,goal,JUK,To do
Clicks Any Scheduler CTA,goal,MOJ,To do
Clicks Any Scheduler CTA,goal,MRH,To do
Clicks Any Scheduler CTA,goal,MRR,To do
Clicks Any Scheduler CTA,goal,MRR-CA,N/A
Clicks Any Scheduler CTA,goal,MRE,To do
Clicks Any Scheduler CTA,goal,SHG,N/A
Clicks Any Scheduler CTA,goal,WDG,N/A
Clicks Hero Scheduler CTA,goal,MRA,Done
Clicks Hero Scheduler CTA,goal,ASV,To do
Clicks Hero Scheduler CTA,goal,MDG,To do
Clicks Hero Scheduler CTA,goal,PDS,To do
Clicks Hero Scheduler CTA,goal,RBW,To do
Clicks Hero Scheduler CTA,goal,MLY,To do
