Goal (directive),MRA,ASV,MDG,PDS,RBW,MLY,FSP,GUY,JUK,MOJ,MRH,MRR,MRR-CA,MRE,SHG,WDG
Submits SF Lead - All,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Submits SF Lead - Footer,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Submits SF Lead - Hero,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Upsell] Clicks Submit CTA,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Upsell] Presented (impressions),Done,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Upsell] Selects Any,Done,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
[Upsell] Selects Offer 1  (MRA),Done,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
[Upsell] Selects Advantage Plan (ASV),N/A,Done,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
[Upsell] Selects MDG Cross Sell (ASV),N/A,Done,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Views Special Offers,Done,Done,Done,To do,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Views Financing,N/A,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Views Service Pages,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Views Residential Service Pages,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Views Commercial Service Pages,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Views Testimonials,Done,Done,Done,Done,Done,To do,Done,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Localized User,To do,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Chat Appointment Made,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Chat Started,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
Chat Lead Submitted,Done,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,To do,N/A,To do,N/A,N/A
GTM Submits Lead Combined,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
