brand,title,our_status,suggested_status,convert_name,convert_id,convert_status
JUK,Clicks Hero Reviews,To do,Done,Clicks Hero Reviews,1004123885,active
MLY,Clicks Hero Reviews,To do,Done,[MLY 72] Clicks Hero Reviews,1004123841,active
JUK,Clicks Warranty CTA,To do,Done,[JUK 13] Clicks Warranty CTA,1004118275,active
PDS,Views Special Offers,To do,Done,[PDS 20] Views Special Offers,1004112147,active
